iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,success_rate,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,4.439948081970215,-4.371886532401289,6.921368248173526,60.39368923738592,-9.080667003650603,0.0,149.22309594291,0.05,0.03423762321472168,0.6535584926605225,0.025148015,0.03957504,-4.371886532401289,0.0,40000,0.8158462047576904,0.9874565213519584,0.790488399300769,-5.268675679467139,0.0
1,4.5630598068237305,-4.609186930325933,5.769895053412271,51.36944863315524,-8.346314769412597,0.0,111.71406189264509,0.05,0.03508400917053223,0.6643185615539551,0.024073489,0.05617246,-4.395616572193753,0.0,40000,1.5300304889678955,0.747122182531186,0.5776110819690875,-5.028111571752244,0.0
2,4.459370851516724,-4.756973760676561,5.0880932049202245,42.5349131328843,-12.142534817117394,0.0,138.40633213492592,0.05,0.03459620475769043,0.6875784397125244,0.024700858,0.041870836,-4.431752291042034,0.0,40000,2.0451011657714844,0.6194620455435298,0.47349181150918485,-3.898486218431399,0.0
3,4.570479393005371,-3.736898289898972,8.967037025877358,72.50574917494055,-10.545381072303599,0.0,123.17313308730084,0.05,0.0333094596862793,0.6286911964416504,0.02462612,0.047999565,-4.362266890927728,0.0,40000,2.069838047027588,0.6985308737976396,0.4479577019730511,-4.597626714969969,0.0
4,4.468878269195557,-3.630452890045332,8.865113393733559,66.94680082198592,-10.029016331311393,0.0,129.02373725634925,0.05,0.03266572952270508,0.6427977085113525,0.024914289,0.040101342,-4.289085490839488,0.0,40000,2.0298280715942383,0.657017502502211,0.3588720459821524,-4.524874327258629,0.0
5,4.5728819370269775,-0.5878303389212747,38.24895725440615,445.0008306990831,-8.995245404154282,0.0,132.2398025458101,0.05,0.030842065811157227,0.5929470062255859,0.024979727,0.039670452,-3.9189599756476667,0.0,40000,2.0236172676086426,0.8958339533100934,0.6199445452105513,-4.492115106665468,0.0
6,4.571778059005737,-2.8140151674559433,11.381091231529489,110.7627420896782,-8.413423485195795,0.0,136.7518894041735,0.05,0.03342866897583008,0.6299958229064941,0.024768313,0.035188958,-3.8084654948284946,0.0,40000,2.0109317302703857,1.534403542799326,0.6112091276660571,-4.279853514513314,0.0
7,4.551518440246582,-3.819890371726426,6.738271355645951,60.787581608485596,-9.435710833678224,0.0,140.94488508215667,0.05,0.03107452392578125,0.6258442401885986,0.025078794,0.039381493,-3.809607982518288,0.0,40000,1.98114013671875,0.8634982049124794,0.5850524288344658,-4.305427326528969,0.0
8,4.570530652999878,-4.043785994239037,5.797094996684477,48.11498699304238,-10.612208967545008,0.0,144.70848563726267,0.05,0.03441190719604492,0.6211726665496826,0.024700351,0.03425685,-3.833025783690363,0.0,40000,2.0257856845855713,0.7016679864334984,0.4942320401793175,-3.7272460870279747,0.0
9,4.567121982574463,-2.139118395266048,10.39155674200095,65.06585328876764,-7.643615873552273,0.0,129.788417625038,0.05,0.03401017189025879,0.6396594047546387,0.024837963,0.042020712,-3.6636350448479313,0.0,40000,1.9909288883209229,0.7243049277747858,0.3794748987254088,-3.1921108620024694,0.0
