iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,success_rate,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,4.635917901992798,-3.36026690083652,10.244133662395976,81.94906549484011,-10.763930977466272,0.0,157.9378651969292,0.05,0.035498619079589844,0.7431597709655762,0.024910014,0.035303608,-3.36026690083652,0.0,40000,0.879425048828125,0.9952974770821981,0.8367164772868481,-4.63566536491227,0.0
1,4.651035785675049,-3.227048759062858,7.510208327979617,59.15247465377474,-7.594282107029501,0.0,134.21298523311552,0.05,0.03511381149291992,0.7293360233306885,0.025590695,0.041567624,-3.3469450866591535,0.0,40000,1.9417662620544434,0.8861909377626486,0.7348672800586026,-3.6655504250241426,0.0
2,4.7602128982543945,-3.4262308921867306,6.89962198532463,68.58933875642846,-7.243064652059954,0.0,131.48789238290956,0.05,0.035254478454589844,0.7368323802947998,0.025023974,0.041464847,-3.354873667211911,0.0,40000,2.2890121936798096,0.8232867068683916,0.7188681934994927,-2.41454656192153,0.0
3,4.658364534378052,-2.0597568513171223,10.64573486795735,77.30133786923635,-9.065443765050428,0.0,127.5838180894335,0.05,0.035698652267456055,0.7484517097473145,0.02532774,0.046571072,-3.2253619856224325,0.0,40000,2.2459254264831543,0.7915488778157487,0.637122275302401,-1.752530703559338,0.0
4,4.654564380645752,-1.923477702338701,11.71125007264712,90.06817659909447,-7.584556749832503,0.0,136.04827427079772,0.05,0.0352320671081543,0.7439110279083252,0.025119027,0.038618457,-3.0951735572940597,0.0,40000,2.2829430103302,0.7153297248907703,0.6213911259468387,0.1544012239899751,0.0
5,4.745280981063843,-1.5931003965216175,11.316606527196646,61.73692620071405,-9.935750509979563,0.0,123.4174027788838,0.05,0.04096794128417969,0.7286477088928223,0.024929352,0.056148242,-2.9449662412168154,0.0,40000,2.4346165657043457,0.6814949294719508,0.5628242386195065,2.0347878886305035,0.0
6,4.646502494812012,-0.023849650673287783,30.494294959241525,413.8317678544547,-7.5441275685398335,0.5,114.40320588755155,0.05,0.036081790924072266,0.6865353584289551,0.025466062,0.049721397,-2.6528545821624627,0.5,40000,2.0346713066101074,0.8992868255643531,0.7056439860858676,4.121446730445208,0.0
7,4.757111549377441,-0.8259601726825835,12.02579421074047,64.67279927515882,-10.008771454863362,0.0,138.32793206123807,0.05,0.0332026481628418,0.707423210144043,0.024477253,0.038428187,-2.470165141214475,0.0,40000,2.252291679382324,1.0210159008594342,0.6556623640946703,4.079899373082862,0.0
8,4.757723093032837,-0.9478571202702301,14.290075562952145,130.67354360054117,-13.35303400897002,0.0,113.42100553444713,0.05,0.034738779067993164,0.7777915000915527,0.024074752,0.07406055,-2.3179343391200504,0.0,40000,2.1360316276550293,0.7309345765049923,0.6054211775975388,8.9793881285138,0.0
9,4.642571687698364,1.6047484546832897,24.689756134429576,257.22994243655126,-6.326008992881901,0.0,127.46853082422895,0.05,0.036553382873535156,0.7384026050567627,0.024198579,0.03465104,-1.9256660597397164,0.0,40000,2.193774700164795,0.8037809831349557,0.6805804890593637,9.646718341243789,0.0
10,4.743811845779419,0.6047372898759659,14.865622168172576,98.69408208077323,-7.085656118307057,0.0,139.9444511688764,0.05,0.03381752967834473,0.6911725997924805,0.02474847,0.03584956,-1.6726257247781482,0.0,40000,2.2074127197265625,0.7123435938954273,0.5216788254720733,12.339021611066302,0.0
11,4.65295934677124,-0.8889637616156674,13.864542625610824,141.37794616339775,-11.93451371285919,0.0,135.17139913337112,0.05,0.03562498092651367,0.6835510730743408,0.024582205,0.03921729,-1.5942595284619,0.0,40000,1.955089807510376,0.7323979467371489,0.5158853217167266,11.370420078699528,0.0
12,4.850842475891113,3.815155493648039,22.449789833985946,154.8599291272119,-8.979751369990852,0.0,146.0786409609811,0.05,0.03578495979309082,0.7780392169952393,0.025652729,0.035728656,-1.0533180262509063,0.0,40000,2.2417750358581543,0.733471893631511,0.5224001626285989,6.1648392250220585,0.0
13,4.744978427886963,2.9535583316306453,19.347975102189547,155.9703146065519,-9.234986202566994,0.0,125.7492573599509,0.05,0.03484082221984863,0.7761969566345215,0.0245273,0.041393895,-0.6526303904627513,0.0,40000,2.256953477859497,0.6004131614277093,0.4671010134088804,16.04730994046388,0.0
14,4.745091438293457,3.984955613309879,18.992902308751987,114.71978348268946,-9.69636788334622,0.0,130.04457151819548,0.05,0.03542304039001465,0.7991461753845215,0.025049884,0.039165303,-0.18887179008548827,0.0,40000,2.2720305919647217,0.6566279672869186,0.49494836114380425,22.09431421756202,0.0
15,4.756734132766724,4.485581785337275,21.615539790603314,169.55827527540984,-10.580900542629626,0.0,136.78270701227345,0.05,0.032553672790527344,0.6778168678283691,0.025367254,0.03790617,0.2785735674567881,0.0,40000,2.068662166595459,0.6372231830482982,0.45728400687323445,22.33093887068763,0.0
16,4.656492710113525,12.156706176355254,100.63697054872102,1323.6228544196856,-8.533173869095899,0.5,163.78368904398303,0.05,0.03245282173156738,0.7693822383880615,0.026799921,0.041061014,1.4663868283466348,0.5,40000,2.30379056930542,0.8913867562625046,0.6748599006014496,22.947319066889165,0.0
17,4.857914447784424,7.971259577450898,31.00487544336692,271.464076985417,-17.038105355357235,0.0,137.59575713098207,0.05,0.035266876220703125,0.7176992893218994,0.025298027,0.035589226,2.116874103257061,0.0,40000,2.11631441116333,1.3909078039634293,0.7966714398376727,8.265290241409975,0.0
18,4.858752250671387,10.527916107477122,33.716245144397334,235.5704410066474,-8.408680822645467,0.0,118.09551615334603,0.05,0.03447771072387695,0.7393314838409424,0.025741974,0.05665674,2.957978303679067,0.0,40000,2.1973979473114014,0.7816885386780017,0.6100630005397295,4.860706995637258,0.0
19,4.646766185760498,9.687369788438025,57.790705008690615,491.0211147009867,-9.906811001014898,1.0,153.50600127417556,0.05,0.04094505310058594,0.8496894836425781,0.02505231,0.038729716,3.6309174521549625,1.0,40000,2.2264328002929688,0.7875103156392803,0.5410008098258874,4.592340062892326,0.0
20,4.8549487590789795,15.817026020523748,68.98095031622316,583.6520668697356,-11.675489766934284,0.5,147.43119290149673,0.05,0.036730289459228516,0.6926953792572021,0.025152193,0.037711017,4.849528308991841,0.5,40000,2.110248327255249,0.8524300941811179,0.6613993604782842,11.983878022194087,0.0
21,4.648768186569214,6.742330798546775,25.894353875977295,146.6029243429121,-13.650975541397912,0.0,141.11727598174164,0.05,0.033786773681640625,0.7026500701904297,0.025373017,0.033974394,5.038808557947335,0.0,40000,2.11269211769104,1.2347170761452184,0.5174885737834843,9.402072467466382,0.0
22,4.839696884155273,25.797206046404963,84.27214300394797,578.4810789169587,-11.61201075717366,1.5,154.22711998964007,0.05,0.03704690933227539,0.7826626300811768,0.02551762,0.03463956,7.114648306793098,1.5,40000,2.0511856079101562,0.8374649594477697,0.6179320205897902,16.17371666236788,0.0
23,4.858599662780762,16.070387452028257,57.576870622776845,412.4928063131696,-9.751417186793132,0.5,140.281071160389,0.05,0.03313112258911133,0.6988177299499512,0.02472865,0.03839361,8.010222221316614,0.5,40000,2.041149139404297,0.8078473064257414,0.6142415273171692,20.135120688483806,0.0
24,4.750777244567871,18.61705941655128,66.03865957986018,629.0469179216211,-12.604725504179084,0.5,128.05207281284706,0.05,0.03908967971801758,0.7285315990447998,0.025144653,0.04134999,9.070905940840081,0.5,40000,2.0305562019348145,0.7174368022873527,0.608036088362715,24.00997781515684,0.0
25,4.956979274749756,19.163428310248946,63.9606621440332,622.675485679392,-12.55125683607358,0.5,142.6716017965682,0.05,0.03808116912841797,0.7842111587524414,0.025414184,0.0401508,10.08015817778097,0.5,40000,2.072918653488159,0.6776586403394499,0.4934625188421245,33.908137211510514,0.0
26,4.852221965789795,17.45709729664235,48.81817151386348,474.74324976581516,-12.926767546194123,0.0,128.08681920817108,0.05,0.035367727279663086,0.7231009006500244,0.02478106,0.043105908,10.817852089667108,0.0,40000,2.0481603145599365,0.7960593240989589,0.5641865877707342,37.46165121520197,0.0
27,4.856880187988281,27.544142431411306,68.07408119226938,523.1881075612791,-9.369428532411142,1.0,138.0034960303576,0.05,0.034867286682128906,0.6989784240722656,0.02512337,0.04190064,12.490481123841528,1.0,40000,1.9906105995178223,0.6804481400692962,0.5564183248570469,53.975672632789994,4.0
28,5.042414665222168,21.99868174203134,57.60094193407858,444.51279140440624,-12.203037570451057,1.0,133.57052398874342,0.05,0.03462052345275879,0.6976079940795898,0.025525412,0.041544046,13.44130118566051,1.0,40000,2.041339635848999,0.6091603456640982,0.5172485737543538,46.02045895069517,0.0
29,4.8527350425720215,25.033813911781603,57.508652510919035,440.013428527366,-10.187482708887087,0.5,136.44506252826005,0.05,0.03499269485473633,0.7243573665618896,0.025072241,0.039538305,14.60055245827262,0.5,40000,2.079040050506592,0.6449976111520668,0.49505369610001304,53.89306798121336,0.0
30,4.945077657699585,37.78831320997789,113.15814421334646,1088.7499098587666,-10.360160419363181,1.5,123.92674045319991,0.05,0.03378701210021973,0.6961462497711182,0.024963323,0.040629975,16.91932853344315,1.5,40000,1.9989323616027832,0.7091099750523644,0.5183017302503629,49.88045339875379,0.0
31,4.856974363327026,39.22121651380317,123.18245925232009,1072.665389929396,-11.484605378847853,2.0,147.1398336722266,0.05,0.03285646438598633,0.7040503025054932,0.024889916,0.03460114,19.149517331479153,2.0,40000,1.7929596900939941,0.7202539933703138,0.5266239826006367,47.48449587772299,0.0
32,5.347475528717041,49.603978479678915,155.05889561102495,1362.8173457843666,-9.918028864941197,2.5,138.71118399341606,0.05,0.03371119499206543,0.703920841217041,0.024902277,0.036277246,22.194963446299127,2.5,40000,1.8839306831359863,0.8112946164241776,0.6008275441776235,94.90274220537384,4.0
33,5.042093992233276,30.73842667100688,65.42935491536073,388.86361240224386,-10.698065141542209,0.5,133.96172223383758,0.05,0.0349123477935791,0.6945662498474121,0.024573945,0.036280684,23.049309768769902,0.5,40000,2.0690948963165283,0.8481623441756051,0.4491856601438808,64.42267067750171,0.0
34,5.158275842666626,43.71224480701485,138.6606349885659,1603.5798157413265,-13.908826077971232,1.5,152.00158955182158,0.05,0.03393268585205078,0.6925187110900879,0.024626004,0.036194347,25.1156032725944,1.5,40000,1.9908819198608398,0.791518478428947,0.5411992806036109,60.0907556309357,0.0
35,5.148360013961792,60.156565689764335,178.1020725096038,1506.4612356516743,-11.288389370441362,3.5,147.85577968442374,0.05,0.03399395942687988,0.7006547451019287,0.025332728,0.036114343,28.619699514311392,3.5,40000,2.0081281661987305,0.6641469655240342,0.4783514498883082,101.13200122396219,4.0
36,5.2568981647491455,59.82469219167497,145.15308170509772,1108.7546924482428,-12.46490455620325,2.5,138.5254518287302,0.05,0.03421211242675781,0.716693639755249,0.025077643,0.039390817,31.740198782047752,2.5,40000,1.9645757675170898,0.725636290668692,0.4794362666729276,41.08724675720925,0.0
37,5.1474878787994385,54.03730786960552,132.8910534500022,737.3775784215401,-11.687742111856853,5.0,143.0303405460148,0.05,0.03357672691345215,0.7020285129547119,0.024964876,0.035406876,33.96990969080353,5.0,40000,1.9498944282531738,0.6994699967230609,0.40784143431869446,46.79515739855788,0.0
38,5.154683589935303,61.932388545771374,201.16043622167356,2150.4757669783744,-13.44596767520104,1.5,152.1565790227781,0.05,0.03480672836303711,0.6910011768341064,0.024785599,0.03534102,36.766157576300316,1.5,40000,1.9807465076446533,0.7496637592688997,0.4978235993351188,51.91468863858561,0.0
39,5.341432571411133,86.03617234420187,203.71179261694977,1322.6973061578285,-14.491885148881046,5.5,153.0732325028388,0.05,0.03455710411071777,0.6887795925140381,0.024616584,0.03481166,41.69315905309047,5.5,40000,2.048429489135742,0.5822008970043652,0.395649180238438,46.65182413943903,0.0
40,5.24999213218689,66.22008352223115,147.46022358725133,1029.4284225132508,-13.888642406284225,3.5,142.2698249618904,0.05,0.0334928035736084,0.6870980262756348,0.025097894,0.036733877,44.14585150000454,3.5,40000,2.107781410217285,0.8640798268087239,0.5781255632596636,47.84997075818846,0.0
41,5.344782590866089,116.30746160512017,248.79560304281623,1523.1223645440546,-12.378999989694634,10.0,156.70466380673295,0.05,0.033130645751953125,0.6999773979187012,0.024950385,0.03416503,51.3620125105161,10.0,40000,2.0365917682647705,0.6111227549456628,0.4113681740674022,85.59899278993005,4.0
42,5.247455835342407,99.01941632538637,246.8732939120569,1637.0837077834287,-8.477501891701495,6.5,152.86684949689075,0.05,0.0333096981048584,0.6553370952606201,0.025311591,0.03327519,56.12775289200313,6.5,40000,1.9625492095947266,0.6778767462136905,0.5445489309662506,92.94234836704912,4.0
43,5.350584268569946,87.19505118230597,183.64703683547492,1576.7755551760588,-9.72070628308716,8.0,143.7695843543418,0.05,0.033622026443481445,0.7182109355926514,0.025246814,0.03483211,59.234482721033416,8.0,40000,1.968554973602295,0.6268331001066723,0.4403142811138309,73.49420482079678,0.0
44,5.340050935745239,112.53093386694472,236.25280127729943,1685.3269631699445,-8.262622421825188,7.5,150.06471479247952,0.05,0.03372764587402344,0.735032320022583,0.025272215,0.034065455,64.56412783562455,7.5,40000,2.1175003051757812,0.6555638461446962,0.4957379789761618,128.7312573321991,12.0
45,5.350050210952759,105.96293679962277,230.93732065445997,1588.6727072532146,-11.672617864197901,8.0,150.36575507403825,0.05,0.0334165096282959,0.7191040515899658,0.025111455,0.033624906,68.70400873202436,8.0,40000,1.9572734832763672,0.6193031301701525,0.4603471742971526,134.89357552328366,8.0
46,5.645132780075073,173.0164501591878,359.6624308262299,2229.1636057419273,-7.130355159102189,14.0,151.8400358409064,0.05,0.036438703536987305,0.74867844581604,0.0253834,0.03421377,79.1352528747407,14.0,40000,2.1046597957611084,0.6164385956210023,0.4807953706401485,133.5719599873004,8.0
47,5.344583988189697,157.9629056703237,326.92527300560346,2048.325396483293,-5.756715927798593,11.0,154.59947550616715,0.05,0.03455185890197754,0.7225203514099121,0.025157101,0.03311744,87.018018154299,11.0,40000,1.7294161319732666,0.6468764189694944,0.46561261577574675,118.68797302909543,4.0
