iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,success_rate,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,4.6345062255859375,-4.50334459896236,7.688019492523518,71.43039002537564,-9.680350126978535,0.0,138.08253669795116,0.05,0.0337224006652832,0.6405518054962158,0.025406783,0.04343081,-4.50334459896236,0.0,40000,0.8324711322784424,0.9896537381456723,0.7926324450960269,-5.402706695486195,0.0
1,4.6417396068573,-4.466434738954057,8.32912613717994,68.1319356783754,-9.52982968268427,0.0,127.67674480306418,0.05,0.03477644920349121,0.6036303043365479,0.02553628,0.04453721,-4.49965361296153,0.0,40000,1.8369522094726562,0.8091634368437396,0.704914158903867,-5.375232090331442,0.0
2,4.541881084442139,-4.733075444530656,6.846421019469705,70.41038616377146,-10.261416803754027,0.0,129.0772372683626,0.05,0.031233787536621094,0.6321818828582764,0.025458913,0.044239882,-4.522995796118443,0.0,40000,2.1055757999420166,0.7255880299006667,0.5950502292536218,-5.1173865944491945,0.0
3,4.558629274368286,-3.411995570191416,12.171478388499523,95.0755031824015,-9.306096802629838,0.0,133.62855505500315,0.05,0.03261899948120117,0.6070408821105957,0.024905749,0.048280846,-4.411895773525741,0.0,40000,1.9126605987548828,0.7537880044392179,0.5718135354960251,-4.639991549196889,0.0
4,4.556663513183594,-2.5389893257619853,26.168522262541263,347.05286564709087,-9.272809565094974,0.0,126.09294083071748,0.05,0.03419923782348633,0.607999324798584,0.0249914,0.059635464,-4.224605128749365,0.0,40000,1.9108572006225586,0.8777852806965687,0.7729945771967958,-4.55809057343185,0.0
5,4.446867942810059,-2.3234300955199036,22.959727855080732,293.2887574608864,-9.582938107149944,0.0,132.2310329494976,0.05,0.03457522392272949,0.6106739044189453,0.025212405,0.051789824,-4.0344876254264195,0.0,40000,2.125169038772583,0.9224656634167285,0.8029251791734668,-4.5135983433660245,0.0
6,4.566381454467773,-2.9677098021170587,14.245265332165653,160.6134327624788,-9.064729893813263,0.0,126.68691855672851,0.05,0.032666921615600586,0.6126933097839355,0.025569161,0.048225254,-3.9278098430954835,0.0,40000,1.8838343620300293,0.8877350166216066,0.6597499013538198,-3.8393049573351323,0.0
7,4.555769681930542,-3.4384746031187756,9.474066951694148,60.75994932508741,-9.19367097418036,0.0,131.26962751081305,0.05,0.03196573257446289,0.611438512802124,0.024954058,0.03742229,-3.878876319097813,0.0,40000,1.8795254230499268,0.7256230821516645,0.6200391092535488,-2.014918807707055,0.0
8,4.65435791015625,-2.3618482955734525,15.292634339713407,162.96932027019443,-11.861085113470825,0.0,122.8771421309528,0.05,0.03263115882873535,0.6152637004852295,0.025086675,0.048111107,-3.7271735167453772,0.0,40000,1.8867640495300293,0.7056002524081342,0.4587513703977084,-4.609378297672919,0.0
9,4.5546875,-1.1305375942162976,26.99883717906699,265.6491078178091,-8.954429920696018,0.0,128.82792751523678,0.05,0.032537221908569336,0.618096113204956,0.025060557,0.044603392,-3.4675099244924694,0.0,40000,2.0966296195983887,0.8092126525138196,0.6215175913681027,19.220304145284114,4.0
10,4.543391704559326,-1.8725224698324276,17.00245741803166,175.62663704744386,-9.061112955896578,0.0,130.7268668662831,0.05,0.032670021057128906,0.6221787929534912,0.024770087,0.037564296,-3.3080111790264652,0.0,40000,2.0571444034576416,0.8886331169547295,0.6659098605584134,-2.117946557838974,0.0
11,4.657154321670532,-2.9440888598858463,11.255339732757779,77.88016995736231,-12.92996194038888,0.0,132.0973027709346,0.05,0.03401684761047363,0.6336991786956787,0.02510511,0.037847616,-3.2716189471124033,0.0,40000,2.051774263381958,0.8932907802492873,0.5845203125935152,2.574760254430218,0.0
12,4.546788930892944,1.2418515829119496,38.82045084106227,457.4929555654911,-10.997817816008032,0.5,137.8055851823815,0.05,0.03234362602233887,0.6556389331817627,0.025184177,0.04588104,-2.820271894109968,0.5,40000,2.079676866531372,0.8966942898431711,0.7135546543422925,-4.074159019906019,0.0
13,4.658196449279785,-2.0161938659353162,16.92387663818939,166.6832227011853,-11.08280284564944,0.0,127.96776273201783,0.05,0.03498506546020508,0.6378228664398193,0.02602987,0.04560165,-2.7398640912925023,0.0,40000,2.0371522903442383,0.7263203994804703,0.5987276381264917,2.6104193002183185,0.0
14,4.553070545196533,-2.712646875584502,11.992675354578656,105.09333050249798,-10.832581977531447,0.0,147.3921173280288,0.05,0.03253293037414551,0.6280508041381836,0.025330972,0.036053702,-2.737142369721702,0.0,40000,1.8431360721588135,0.766196062645488,0.47323614764738303,-4.663686994678226,0.0
15,4.557083606719971,-1.6402570445504523,19.319681955317556,227.2074268727443,-8.651885241420237,0.0,119.66701149439514,0.05,0.032843589782714844,0.6427891254425049,0.026474128,0.06583231,-2.627453837204577,0.0,40000,2.067250967025757,0.8600684633814676,0.5508640640350829,-1.7987448149535925,0.0
16,4.757356405258179,1.0721509664939175,30.0843625566977,364.10124224227087,-9.074815940152346,0.5,134.27401027366778,0.05,0.033355712890625,0.6288630962371826,0.02544459,0.044544756,-2.2574933568347277,0.5,40000,2.074615478515625,0.9148793718489631,0.7731090587414017,-1.7090885825724456,0.0
17,4.558828592300415,1.7967586803875133,43.66890033005814,459.5047477882217,-9.1384380565311,0.0,124.69751695009207,0.05,0.03272509574890137,0.6260859966278076,0.025092155,0.054884415,-1.8520681531125038,0.0,40000,2.0490615367889404,0.818255378394157,0.6611064147728729,2.931781987594515,0.0
18,4.554123401641846,0.7565507265532119,30.496901361214743,345.4877707871795,-10.950537062854686,0.0,134.14522589343977,0.05,0.032584428787231445,0.6169543266296387,0.024926899,0.034907293,-1.5912062651459324,0.0,40000,2.049220323562622,0.8634133103900539,0.5474685702349353,-2.3957553419215483,0.0
19,4.662353754043579,2.633189222118998,61.59963107850483,851.0000626054265,-10.021854515809173,0.5,140.61322843274303,0.05,0.03302359580993652,0.6220555305480957,0.025635326,0.043814506,-1.1687667164194393,0.5,40000,2.0404105186462402,0.7718508239118747,0.5987256566484718,-0.7975240101446569,0.0
20,4.657936334609985,4.728620768419281,67.39580538267316,900.8461921506006,-10.810149973714031,0.5,140.57390636758552,0.05,0.03246641159057617,0.6208310127258301,0.024280662,0.03626603,-0.5790279679355673,0.5,40000,2.0295159816741943,0.8635699507042854,0.6901205425235766,15.327779375697606,0.0
