iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,success_rate,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,13.319744110107422,-5.150031706888952,2.143516305236801,14.31571336547572,-10.500939673540973,0.0,157.38646073999175,0.05,0.34877610206604004,5.098329544067383,0.025147092,0.067937605,-5.150031706888952,0.0,40000,22.071726322174072,0.9398801072746487,0.1776991097022494,-4.662297264258463,0.0
1,13.269922256469727,-5.052752354667234,1.2877673886354182,5.425941933983281,-10.594848352624462,0.0,189.0758664140213,0.05,0.384566068649292,7.89379620552063,0.023666386,0.026794354,-5.1403037716667805,0.0,40000,24.29007911682129,0.06763517405674167,0.05995405770201122,-3.921802875335132,0.0
2,13.561746597290039,-5.0153839796411726,1.1366293065514739,-3.288830574843726,-11.198438507120835,0.0,200.24475956531435,0.05,0.37551188468933105,8.451308250427246,0.024593512,0.022949744,-5.12781179246422,0.0,40000,18.408725023269653,0.0748022749703918,0.06198034952277968,-4.313795522426284,0.0
3,14.598670721054077,-4.693829785754087,1.9581506057201683,11.379498641528665,-11.275910161294389,0.0,164.81014931819817,0.05,0.1760265827178955,7.468611001968384,0.024895245,0.03618993,-5.084413591793207,0.0,40000,22.744107961654663,0.13002327525066196,0.11890502958083297,-4.814690159397562,0.0
4,14.018366575241089,-4.858926124706287,1.5879238650011378,-1.0612876958992874,-15.57937615508922,0.0,165.9246887091665,0.05,0.3148796558380127,5.5445778369903564,0.023497384,0.026885767,-5.061864845084515,0.0,40000,26.893155097961426,0.1273068400231343,0.10065670740927707,-2.2050630354641885,0.0
5,13.582625389099121,-4.199207396481714,1.5404422843586123,8.122649057266724,-7.066751943061344,0.0,172.5731566132197,0.05,0.33359384536743164,5.113577604293823,0.024589032,0.0321187,-4.975599100224235,0.0,40000,24.37493896484375,0.1748241616916198,0.13602785173716817,-5.351804515751142,0.0
6,11.996757984161377,-4.179616571198357,1.552217269903403,4.8579480904957215,-9.45163221395679,0.0,187.67589142918996,0.05,0.22274303436279297,3.4353365898132324,0.025189154,0.02749567,-4.896000847321647,0.0,40000,16.719693899154663,0.1449724137208452,0.12889783102280283,-3.3794802629545155,0.0
7,12.163327693939209,-3.8525758788900935,5.419738486419155,54.75379484861123,-14.414085179945811,0.0,154.07907901292322,0.05,0.2498157024383545,6.15969705581665,0.023532566,0.043336257,-4.791658350478492,0.0,40000,14.092800378799438,0.6548884430921851,0.5445993200901192,0.3269608828706396,0.0
8,11.81087040901184,-3.996678714799931,3.1552276154141903,23.476153158111966,-12.553128814642053,0.0,168.76786271760673,0.05,0.1915574073791504,4.912618160247803,0.024471048,0.03054205,-4.712160386910637,0.0,40000,17.364948511123657,0.48713998642443224,0.41487722983720976,-4.434101100956753,0.0
9,12.305251359939575,-3.713965527339152,4.63326919322252,29.979821326520792,-18.264931939101874,0.0,207.87441140788874,0.05,0.21893835067749023,4.58927321434021,0.02386345,0.025800593,-4.612340900953488,0.0,40000,20.393516302108765,0.6159683684130294,0.5528196349175848,-4.601035466595696,0.0
10,11.961144208908081,-3.277173642791014,4.456339598242321,25.585950146425194,-17.876312425308193,0.0,205.3950639716831,0.05,0.2322556972503662,3.301877737045288,0.024941612,0.025310118,-4.478824175137241,0.0,40000,13.193737983703613,0.6115728251402691,0.5353397958891963,-2.773834575196196,0.0
11,11.738447666168213,-3.153817314664009,3.737487885141187,24.79719615626317,-11.188760537037219,0.0,190.31912572571224,0.05,0.1805720329284668,3.784342050552368,0.023882195,0.026925534,-4.346323489089918,0.0,40000,12.996080160140991,0.6737468758510315,0.5661128175427823,-1.7088574227143933,0.0
12,12.537464141845703,-3.4198963420775463,4.521380923959379,33.5471980457709,-17.699410417468705,0.0,220.322601686155,0.05,0.16133713722229004,4.856515645980835,0.02434776,0.023038594,-4.25368077438868,0.0,40000,21.182302236557007,0.5622451437000147,0.49081657227144565,0.21081104334994558,0.0
13,11.318697690963745,-3.0179127605876617,4.855424124945946,35.31222084841759,-13.134118431765911,0.0,228.64341470198067,0.05,0.31221723556518555,6.200306177139282,0.024510859,0.02352274,-4.130103973008579,0.0,40000,16.536120414733887,0.7718715324002727,0.6529918672600943,-1.6544115455029287,0.0
14,11.938254833221436,-2.2848794570263773,7.13143006760197,49.13638328830076,-11.920441149397334,0.0,202.6021054959054,0.05,0.18575644493103027,4.002906084060669,0.024409566,0.027434623,-3.9455815214103587,0.0,40000,17.444698572158813,0.8206912812200534,0.7511335865723798,-0.12035477475672413,0.0
15,11.75844693183899,-3.310259259289717,3.4541097393676687,15.797322593157203,-12.538896090174335,0.0,179.75681091396638,0.05,0.13216590881347656,5.224783182144165,0.024527734,0.028694272,-3.8820492951982946,0.0,40000,12.313136100769043,0.8232090223486487,0.4748401862515033,0.5694170984440499,0.0
16,12.486759185791016,-3.2061426136674647,4.888367017652408,41.10924895008251,-15.869664509801725,0.0,200.2995979999883,0.05,0.2414391040802002,4.780494928359985,0.023549734,0.025567826,-3.8144586270452114,0.0,40000,20.86895227432251,0.5974171975540646,0.5172225022469621,-0.6838490181599746,0.0
17,11.831440210342407,-3.088604452578286,3.1306074019319197,19.578128506723573,-12.717554185769124,0.0,203.63268352749324,0.05,0.1705918312072754,4.667497634887695,0.024774183,0.025819354,-3.741873209598519,0.0,40000,12.612045288085938,0.5043587082031789,0.4046922868410557,-2.6040223026072744,0.0
18,12.16251015663147,-2.556291143212091,5.14268227378125,32.53921108808649,-18.453045715714758,0.0,205.6617168843908,0.05,0.1263139247894287,3.7501182556152344,0.024262866,0.023925805,-3.6233150029598766,0.0,40000,12.947095155715942,0.7201098753036322,0.5996474238079676,-0.02508237031202354,0.0
19,12.0117769241333,-2.217798162100185,5.751420131780428,41.67701891859826,-16.242665879639087,0.0,196.4916601450963,0.05,0.14905500411987305,4.5198962688446045,0.024511466,0.025677225,-3.4827633188739076,0.0,40000,13.598357200622559,0.7256368363374016,0.5969060463109387,0.8411069687659527,0.0
20,12.4214346408844,-3.0477533592108834,3.5681088122095947,23.81860149882134,-13.725792308889853,0.0,206.0618701284867,0.05,0.1676788330078125,3.822267532348633,0.024896475,0.024390366,-3.4392623229076054,0.0,40000,24.715624570846558,0.7275295570238158,0.4521789767378813,-0.9611962120146252,0.0
21,12.119624137878418,-1.7644631349674007,5.617782786071215,33.05757808872971,-14.275811783279059,0.0,212.5137857057242,0.05,0.17890048027038574,5.566237688064575,0.024570517,0.024706848,-3.271782404113585,0.0,40000,19.34308934211731,0.8443593253594168,0.6792124646536205,-3.6295761553689685,0.0
22,12.066447257995605,-0.3169126678336046,14.059970693964074,133.20304431592461,-20.400513890989302,0.0,175.19094806495366,0.05,0.14686012268066406,3.7622387409210205,0.024400057,0.078766055,-2.976295430485587,0.0,40000,23.689805030822754,0.8887169462676104,0.7434048705327758,-1.4049839584112649,0.0
23,12.499047756195068,-1.5084209450910715,6.866874185274654,56.84377469047355,-13.541722252014292,0.0,195.5295751281976,0.05,0.1963200569152832,3.3479342460632324,0.025016742,0.026084619,-2.8295079819461355,0.0,40000,15.062564611434937,0.9230449010457491,0.7023095945954747,-3.3986485894101577,0.0
24,12.756242990493774,-1.8225932820739033,6.2716188251682645,33.80083150557555,-18.7410600156731,0.0,191.26859181257228,0.05,0.3272585868835449,3.6222314834594727,0.024489313,0.02654532,-2.7288165119589123,0.0,40000,19.57100200653076,0.7906286801193918,0.6226021078364281,-0.5444115299577891,0.0
25,12.957979202270508,-2.010122579504008,6.697865493267599,57.9010968579739,-13.850929308121492,0.0,204.78263892656855,0.05,0.23176908493041992,4.6670191287994385,0.024883477,0.025329279,-2.656947118713422,0.0,40000,19.652724027633667,0.7417342523226461,0.5629703968353429,-1.3784057931907612,0.0
26,12.271137714385986,-1.4510112550459053,6.546584995190908,37.06094518949025,-16.244613944307552,0.0,203.48173480603452,0.05,0.17165660858154297,3.8134782314300537,0.024476642,0.024400342,-2.5363535323466704,0.0,40000,23.43070673942566,0.8301585411595664,0.5904642337368321,-1.532674642801557,0.0
27,12.327303171157837,-1.799976270877769,7.101025529849995,41.280150059082864,-17.109059103651767,0.0,195.45118868067664,0.05,0.12160563468933105,3.169726848602295,0.02478463,0.027644863,-2.4627158061997805,0.0,40000,23.70310401916504,0.7339804527281052,0.5689856566341562,0.03962362124162013,0.0
28,12.223460674285889,-1.4771413084244243,7.255359342339086,42.222492193431506,-20.08476839751086,0.0,197.23828869905395,0.05,0.21046781539916992,8.76744031906128,0.024621554,0.02771436,-2.364158356422245,0.0,40000,20.48953127861023,0.6967967085832634,0.5760009749682286,-1.8405351768564864,0.0
29,12.625914096832275,-0.8230820187046685,7.399821288998052,38.9335115626942,-20.685799994633253,0.0,196.1870479632258,0.05,0.36391592025756836,4.884278774261475,0.024167115,0.026260633,-2.2100507226504873,0.0,40000,15.59981656074524,0.7338815893509699,0.5288057786960947,5.159159101770954,0.0
30,12.273905992507935,0.0442651641425984,8.101006500017002,49.99733762580823,-13.900898690912229,0.0,199.53925792353624,0.05,0.28267574310302734,5.300304889678955,0.025004743,0.027044816,-1.9846191339711787,0.0,40000,20.661375045776367,0.7473904658375181,0.59493450015566,1.3843141159832202,0.0
31,12.314722776412964,-0.4113271991528666,9.986885502644574,56.62296108547322,-19.25420410252251,0.0,212.3682384508404,0.05,0.3645749092102051,4.7323524951934814,0.025360283,0.024083978,-1.8272899404893475,0.0,40000,12.94399642944336,0.703328541298972,0.5682512188687306,0.2578332210131804,0.0
32,12.204983949661255,0.862435020621904,10.249396223222636,64.00948446702434,-14.630145148210318,0.0,217.25968032848456,0.05,0.257108211517334,3.492722511291504,0.024346963,0.022988174,-1.5583174443782224,0.0,40000,21.398748636245728,0.7580996727732131,0.5747685855991366,2.0073060704451224,0.0
33,12.2693612575531,-0.5057814705970385,7.84297264060162,46.147609165082855,-17.04037633677581,0.0,195.26585406095202,0.05,0.12400460243225098,3.170062303543091,0.024871655,0.025954826,-1.453063847000104,0.0,40000,20.93655276298523,0.6958396686349951,0.5485042736817033,1.2835501366376323,0.0
34,12.228918313980103,1.6455835099561091,10.979007937715501,52.64302442841031,-16.51129204447483,0.0,202.43800346970315,0.05,0.1351909637451172,4.9588234424591064,0.024379782,0.024966665,-1.1431991113044826,0.0,40000,20.87626600265503,0.71491501890476,0.5515170774876221,5.071874692983543,0.0
35,12.810176849365234,1.6137363079051479,11.54763656132722,72.27399407087923,-14.77674634802018,0.0,205.07970281821622,0.05,0.37003588676452637,8.605553150177002,0.024977906,0.024638629,-0.8675055693835195,0.0,40000,9.845107316970825,0.6763421734898625,0.5123984702710588,18.296654427833918,4.0
36,12.083991765975952,0.629478397693032,9.37846064415525,49.31110058760782,-16.05336252347723,0.0,203.35407152410664,0.05,0.21890902519226074,7.55229640007019,0.024931336,0.024526436,-0.7178071726758644,0.0,40000,16.047391414642334,0.615205650350376,0.510723755904433,12.564402680953771,0.0
37,12.364532232284546,3.3912840198285257,16.556685267056924,138.6277602607663,-13.849954989597691,0.0,194.45744429092792,0.05,0.2958657741546631,5.388264894485474,0.024454806,0.028910859,-0.30689805342542537,0.0,40000,12.706403017044067,0.7573904815315833,0.5531169127054121,1.103863117293588,0.0
38,12.13520359992981,1.9371733134550404,11.922530731326875,68.8202318289763,-14.104089632665026,0.0,203.4702131416348,0.05,0.2537078857421875,5.999954462051392,0.024820551,0.024797054,-0.0824909167373788,0.0,40000,23.955167055130005,0.8910334776295759,0.518009492681247,10.708879652398714,0.0
39,12.320708274841309,1.4409707899241828,11.208830869864963,102.49474983547016,-14.487199880477215,0.0,205.917915287313,0.05,0.14245891571044922,5.525442123413086,0.02495673,0.024077192,0.06985525392877735,0.0,40000,21.023088216781616,0.7060037608953184,0.546640751880577,-0.7214651922334566,0.0
40,12.090860605239868,1.680325464445775,10.622609988238146,65.2511458378595,-16.21349413005551,0.0,200.0305685550375,0.05,0.3185856342315674,7.251819610595703,0.024900457,0.025080774,0.23090227498047713,0.0,40000,23.318544149398804,0.7005310865304669,0.534304498771863,4.47644196433419,0.0
41,12.128875970840454,3.7390078364902672,14.72360665610075,77.19270442356503,-13.33541346841873,0.0,202.76092091219027,0.05,0.3879120349884033,5.70496940612793,0.024951598,0.026021237,0.5817128311314561,0.0,40000,18.32813572883606,0.65150621054929,0.4326507088474922,14.31628636807745,0.0
42,12.16309905052185,1.57440329617111,9.723900657951614,58.86005890842473,-12.948916404408978,0.0,189.66635863603165,0.05,0.32260966300964355,5.546160459518433,0.024586963,0.023931019,0.6809818776354215,0.0,40000,15.561545372009277,0.7349468401894202,0.5256630355005513,6.905140000084782,0.0
43,11.886722803115845,4.198604320582877,19.019196370780094,196.34210683287915,-12.556133926287643,0.0,229.18649674143373,0.05,0.21911287307739258,6.7750184535980225,0.024562147,0.02331769,1.032744121930167,0.0,40000,18.187322854995728,0.8213147021622582,0.6136277058362934,5.069346983690061,0.0
44,12.170003175735474,2.758129753552832,12.102191871472977,59.52144795728781,-17.577616125914584,0.0,203.97725985389232,0.05,0.24106693267822266,6.307237863540649,0.024343437,0.024194932,1.2052826850924334,0.0,40000,12.776894569396973,0.7987074170496093,0.4885897685818753,16.45085251457613,4.0
45,12.455817937850952,3.1321225565141213,12.816865515026118,65.43694796175416,-19.119779696189926,0.0,203.41459573394397,0.05,0.2515881061553955,7.4594385623931885,0.025259143,0.024479324,1.3979666722346022,0.0,40000,16.127109050750732,0.6512859072476566,0.5000349278778989,32.39761473104901,4.0
46,12.657473802566528,4.44905443324821,16.012276002050612,90.85054977087184,-14.933769928658808,0.0,212.17077411353253,0.05,0.24074101448059082,4.843454837799072,0.024842761,0.024861893,1.703075448335963,0.0,40000,16.85215997695923,0.6117196621260466,0.497422750260575,1.6137203328345617,0.0
47,12.261228322982788,3.666515141953978,12.902064535323719,74.61136891258901,-17.957878121472806,0.0,205.7911331366104,0.05,0.2060990333557129,3.519251585006714,0.025062472,0.023861676,1.8994194176977646,0.0,40000,13.07790470123291,0.7013127644687273,0.49713205418002865,2.9662259240692106,0.0
48,12.823475360870361,4.929754642622653,18.641381260976576,200.0710045897484,-14.993121479767671,0.0,212.57767761328154,0.05,0.2885565757751465,4.522722005844116,0.024571994,0.025813723,2.2024529401902533,0.0,40000,16.016335010528564,0.6867389788928451,0.5546308006620609,4.287398753741864,0.0
49,12.293113231658936,6.695515623389163,22.91324265162184,156.6780746105186,-22.122467694567636,0.0,205.02302001323648,0.05,0.26921606063842773,3.529554843902588,0.024678271,0.02703369,2.6517592085101445,0.0,40000,11.47011661529541,0.6100850460531477,0.49914257229491227,1.416985304622994,0.0
50,12.485313177108765,8.727453850084988,45.204056301369555,567.5619632383101,-19.567292566359587,0.5,218.0971456352585,0.05,0.18924880027770996,5.189723014831543,0.024832357,0.025307765,3.259328672667629,0.5,40000,11.930012941360474,0.8150939287265075,0.67121240892293,1.6374171869008542,0.0
51,12.353917121887207,6.520528006971246,25.150598807055218,259.8695660037872,-15.457117663679393,0.0,202.70542844918384,0.05,0.21156048774719238,5.7423415184021,0.024470536,0.025769,3.585448606097991,0.0,40000,16.261866331100464,0.7692366096248556,0.5389536701633038,7.201886343171792,0.0
52,12.576468467712402,4.68246861524308,17.527233444033488,131.3439609173096,-17.64883816377315,0.0,204.23432498111848,0.05,0.39228057861328125,4.466468095779419,0.025115643,0.024150245,3.6951506070124998,0.0,40000,19.12615728378296,0.7344959171067781,0.5583780282321805,1.6560537396480368,0.0
53,12.62259578704834,8.709327651538773,49.68535864640914,658.7780909928273,-22.01315828119421,0.5,221.7915260514915,0.05,0.18573689460754395,5.120476245880127,0.024747064,0.030822692,4.196568311465127,0.5,40000,19.17159152030945,0.8090925265738554,0.5549729513189232,2.959885566492975,0.0
54,12.166946172714233,7.764191064815808,25.527301566167104,194.12488143270951,-16.45681209169819,0.0,187.02992090286125,0.05,0.20772814750671387,4.05523419380188,0.0248357,0.025092442,4.553330586800195,0.0,40000,20.731095552444458,0.8086258349598626,0.4985940097285523,1.8304987584862922,0.0
55,12.589124202728271,6.239757914456493,17.61408947286343,93.44858663583584,-12.080696667134756,0.0,190.28723659108687,0.05,0.1852271556854248,3.799895763397217,0.024745565,0.023568591,4.721973319565825,0.0,40000,18.161105632781982,0.9054585632823904,0.5297180284925467,-0.5903982453006472,0.0
56,12.550752639770508,16.495443158076068,101.86036085400599,1388.8883303929817,-17.76358339948204,0.5,257.0059962105983,0.05,0.15309405326843262,3.5205023288726807,0.025337089,0.021065494,5.899320303416848,0.5,40000,21.615388870239258,0.9097174667827207,0.6624480040779229,-1.0649840040477774,0.0
57,12.185683965682983,13.85472814788468,59.02582551996026,550.8797837890364,-13.329996771483891,1.0,215.01560159927374,0.05,0.3578071594238281,3.8715662956237793,0.025142733,0.024227167,6.694861087863631,1.0,40000,19.807208776474,0.7187644048539616,0.5255354190650476,-0.19743058390843615,0.0
58,12.149029970169067,6.843687429040852,21.331006937971758,114.67677746365054,-17.26669556099305,0.0,217.22100731579127,0.05,0.21805047988891602,4.659360885620117,0.024900427,0.022057313,6.709743721981353,0.0,40000,23.514598608016968,1.7436038094878825,0.5143500932206346,17.444614323511672,0.0
59,11.79337191581726,6.823717132414981,24.81731926445693,269.83340777718985,-18.70842461567709,0.0,186.4304664671721,0.05,0.2780601978302002,4.985285997390747,0.024803763,0.028677233,6.7211410630247155,0.0,40000,18.996964931488037,0.7371704291098842,0.5782310397981444,8.12581951098321,0.0
60,12.164274454116821,9.395584404447073,47.34259819750966,629.3199830554734,-16.19453155243689,0.5,252.37835690111504,0.05,0.17255425453186035,3.6376445293426514,0.024538469,0.026137939,6.988585397166951,0.5,40000,22.812987565994263,0.9226674812476359,0.4838492864749829,10.928998499236528,0.0
