iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,success_rate,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,4.428003311157227,-7.705675720681771,2.900386410671806,13.384962468015306,-12.967560867228068,0.0,191.44509516349143,0.05,0.048540353775024414,0.6514461040496826,0.023406995,0.024679022,-7.705675720681771,0.0,40000,0.839573860168457,0.96051208310081,0.1269929097928655,-8.15032399765474,0.0
1,4.556694269180298,-7.45153232129514,2.402286504237658,3.1868464379389443,-12.71352134500432,0.0,192.39388182218684,0.05,0.04839158058166504,0.6553621292114258,0.023293855,0.025003167,-7.680261380743109,0.0,40000,1.7896041870117188,0.07735906314092167,0.06742441216557306,-6.978693901822653,0.0
2,4.559586763381958,-7.0144102636401024,2.5427815616571907,6.347483759897313,-15.076794200568918,0.0,190.88298015650662,0.05,0.047571659088134766,0.6451799869537354,0.023751725,0.026325636,-7.613676269032808,0.0,40000,2.1324071884155273,0.09165320296912415,0.07645498856780229,-6.463208172591193,0.0
3,4.447267055511475,-6.82513668389706,3.334232115663311,11.958518374817505,-12.739211625209798,0.0,203.4062331368597,0.05,0.048631906509399414,0.6613435745239258,0.024243182,0.024488395,-7.5348223105192345,0.0,40000,2.1489572525024414,0.15647923713475848,0.13138773930920314,-5.857075767163622,0.0
4,4.563607215881348,-6.269198436374637,3.0997418720006804,10.84700179497469,-11.828892596667878,0.0,213.39501131864162,0.05,0.04509282112121582,0.6593239307403564,0.024458505,0.02348636,-7.408259923104775,0.0,40000,2.0979197025299072,0.20867824391212722,0.18508566169677912,-5.054093944859344,0.0
5,4.452733755111694,-5.915686530506341,3.1233063005513886,15.28666642775436,-10.626766603749397,0.0,175.7370226551843,0.05,0.04418778419494629,0.6435484886169434,0.023994194,0.028765293,-7.259002583844932,0.0,40000,2.0919692516326904,0.24331296621989723,0.21773718129376182,-4.817045032407319,0.0
6,4.45729660987854,-5.4764351894484635,5.29775156020761,44.48968793381486,-14.232355764337006,0.0,195.70992675000727,0.05,0.04765057563781738,0.6520111560821533,0.024599645,0.028589968,-7.0807458444052855,0.0,40000,2.0399839878082275,0.5803938201609,0.5303234500608135,-4.172963801829979,0.0
7,4.56453013420105,-5.424281149092747,4.004968927034565,16.5939905193847,-14.511752924096982,0.0,190.78614568503681,0.05,0.047704458236694336,0.6515326499938965,0.024601785,0.027766446,-6.915099374874032,0.0,40000,1.9662880897521973,0.3830510457391626,0.32316512397890035,-5.165877561995999,0.0
8,4.455040693283081,-4.92859572834163,5.4981169856837795,39.501644606943934,-10.839404503206724,0.0,188.3737555209831,0.05,0.0467376708984375,0.650895357131958,0.024572352,0.037163436,-6.716449010220792,0.0,40000,1.9030535221099854,0.614045497659583,0.5468988848486256,-4.996701032510293,0.0
9,4.4587929248809814,-4.84405144634284,8.084631386086278,92.65504566049972,-12.328137041539962,0.0,172.44194005852577,0.05,0.04718160629272461,0.6440639495849609,0.02298606,0.049419563,-6.529209253832997,0.0,40000,1.9110546112060547,0.82935432925161,0.7501048488109939,-5.454946792317714,0.0
10,4.4524383544921875,-5.70431774524071,2.6926149150102288,11.325324911066224,-10.405992894961244,0.0,219.84039449355973,0.05,0.048006296157836914,0.6556813716888428,0.024990557,0.022746673,-6.446720102973768,0.0,40000,1.8899974822998047,0.29337244221176767,0.17194568293622237,-5.021195817314649,0.0
11,4.4512975215911865,-4.860465822129259,3.832404090057755,14.407544492199815,-13.740098646752289,0.0,192.26279996879023,0.05,0.046480417251586914,0.6527566909790039,0.02477091,0.031004675,-6.288094674889317,0.0,40000,1.8400704860687256,0.44816307370211533,0.35543088679085594,-3.185434286680603,0.0
12,4.4481589794158936,-4.722996164543193,4.428029100532392,31.19175963958392,-13.548052322234508,0.0,193.65461658679465,0.05,0.04829072952270508,0.6490664482116699,0.0244254,0.028494159,-6.131584823854705,0.0,40000,1.83119535446167,0.5406561427857662,0.40379993060524594,-4.276315041283044,0.0
13,4.450718402862549,-4.406881317715989,5.050027245533346,31.491514401140694,-11.431940538524774,0.0,213.4011429307725,0.05,0.04894685745239258,0.6730785369873047,0.023928033,0.022918878,-5.959114473240833,0.0,40000,1.8804600238800049,0.659700982623864,0.5257157565682319,-2.623435549293907,0.0
14,4.564017057418823,-4.227299815644663,4.81279935191112,22.43369477992049,-14.021466605890883,0.0,184.31123494165888,0.05,0.04873800277709961,0.6457505226135254,0.023564039,0.03047032,-5.7859330074812165,0.0,40000,1.8603296279907227,0.6211420863552918,0.516229756307602,-3.616665680547777,0.0
15,4.5600574016571045,-4.01942190442109,6.834059336647601,66.52669432265046,-12.238653957709067,0.0,207.00103557724694,0.05,0.04672718048095703,0.6528778076171875,0.02404928,0.025006477,-5.6092818971752045,0.0,40000,1.6425936222076416,0.7564045715802015,0.5658686395828665,-4.101392946335063,0.0
16,4.453512191772461,-4.214381366753186,5.154449572316709,37.730719306159834,-14.518308526126084,0.0,203.92919885196793,0.05,0.045212745666503906,0.6588106155395508,0.02492181,0.025065975,-5.4697918441330025,0.0,40000,1.6383159160614014,0.6481548027125629,0.5196497494996728,-3.4211243889655583,0.0
17,4.450982570648193,-4.8263904177769605,3.5991828813861235,22.041303457653484,-18.582847998060437,0.0,200.734756206689,0.05,0.04613161087036133,0.6572022438049316,0.022161337,0.024717223,-5.405451701497398,0.0,40000,1.6433749198913574,0.4878792735534864,0.39565596975738343,-2.6224130568561876,0.0
18,4.564842462539673,-3.253146468472788,9.95008250250237,111.28199154864599,-11.768466104874417,0.0,208.26233758784318,0.05,0.049314260482788086,0.659414529800415,0.024915636,0.02992681,-5.190221178194937,0.0,40000,1.6453640460968018,0.8988584364734842,0.7780848893000929,-3.198542158213984,0.0
19,4.452223777770996,-2.5839260304507508,15.489649195888102,171.89543568540327,-12.714214682864105,0.0,183.0053323910563,0.05,0.04749584197998047,0.6868486404418945,0.023775712,0.033217434,-4.929591663420519,0.0,40000,1.6646199226379395,0.9308614477811784,0.7506644766775827,-1.8043861824896963,0.0
20,4.44706916809082,-3.6903345455003542,6.161247868463002,39.23954838173383,-17.131036200514497,0.0,197.15669741553458,0.05,0.04749941825866699,0.7038583755493164,0.02407366,0.02407992,-4.8056659516285025,0.0,40000,1.913672685623169,0.8249439827564075,0.5617194785060504,1.8192459528644016,0.0
21,4.568873167037964,-2.632389217051026,15.058165387166738,155.23903488102417,-13.620468616340418,0.0,236.98999079773156,0.05,0.049013614654541016,0.6745274066925049,0.024065625,0.022001505,-4.588338278170755,0.0,40000,1.6491875648498535,0.9345773203341405,0.6950070310318386,-3.567142811619779,0.0
22,4.564226388931274,-2.5357948817109044,14.577470736790488,186.39732204539317,-15.282718855824294,0.0,178.27103530312868,0.05,0.04968142509460449,0.6787171363830566,0.024365168,0.05474442,-4.38308393852477,0.0,40000,1.8797423839569092,0.9624995922225472,0.7064011909488501,-0.6540475299898222,0.0
23,4.454632997512817,-2.6728794924838155,12.850131190800296,151.49781013061988,-9.94522718545088,0.0,164.58827007388058,0.05,0.04688906669616699,0.6908853054046631,0.024298536,0.027027437,-4.212063493920675,0.0,40000,1.9308714866638184,1.0409079085629274,0.9018059057864558,-1.2718589523524404,0.0
24,4.567276477813721,-3.424035884815218,6.295447405936806,40.257379117472475,-16.431680255694236,0.0,213.05238336838156,0.05,0.04979443550109863,0.67368483543396,0.024878833,0.025833074,-4.133260733010129,0.0,40000,1.958289384841919,0.7765106679808929,0.6500058322911768,-4.620592984576909,0.0
25,4.556419610977173,-2.815623126588189,20.832199911101682,284.85103559949846,-10.3942568643806,0.0,164.66900984643186,0.05,0.047077178955078125,0.6710658073425293,0.024701128,0.032595176,-4.001496972367935,0.0,40000,1.9232583045959473,0.9587429347527685,0.5768869693762205,-2.957134997195867,0.0
26,4.567397594451904,-2.7001182488564206,10.13603207664863,82.22957778118104,-11.33303693018629,0.0,180.56648086032087,0.05,0.048897504806518555,0.6636536121368408,0.02437352,0.029683538,-3.8713591000167837,0.0,40000,1.9401681423187256,1.1479157970036602,0.852106349065734,-3.2638338583204995,0.0
27,4.568321466445923,-3.029945782566889,7.2803012403580105,35.45756586792471,-13.383848986287704,0.0,197.52356716088926,0.05,0.04927515983581543,0.6694653034210205,0.024985502,0.025888737,-3.7872177682717947,0.0,40000,1.9053285121917725,0.8438636700217027,0.7375175974977101,-3.29228933615256,0.0
28,4.568178176879883,-2.8960759520710075,12.6630057047562,154.16417163955583,-17.083346587585172,0.0,241.44308069620695,0.05,0.049597978591918945,0.6761877536773682,0.024165988,0.020586727,-3.698103586651716,0.0,40000,1.8846855163574219,0.9356648714133033,0.7439572077432441,-5.035584328429771,0.0
29,4.565775156021118,-2.9705888888201706,6.517978233151734,35.54830236778728,-12.092303364682627,0.0,178.58694690807204,0.05,0.0509190559387207,0.6749353408813477,0.024642339,0.027349936,-3.6253521168685614,0.0,40000,1.9269208908081055,0.9966959270670872,0.6816821315830656,-1.0276518510433916,0.0
30,4.557504653930664,-3.0940074978014707,8.073428158251344,59.956873087682766,-13.782333622241012,0.0,192.9599911841991,0.05,0.05066943168640137,0.6785821914672852,0.02473566,0.025010185,-3.5722176549618525,0.0,40000,1.9303672313690186,0.8000287670788059,0.633305784293779,-4.732652007679928,0.0
31,4.667387962341309,-2.1223454428372572,13.326903002598932,163.62450552765898,-12.994513861378895,0.0,215.24247911538663,0.05,0.05023837089538574,0.6795709133148193,0.02452791,0.026452908,-3.427230433749393,0.0,40000,1.9314994812011719,0.8336068901170913,0.5148935101234483,-5.284713350905824,0.0
32,4.666867256164551,-3.263923433454309,5.846041544372679,39.68602685249514,-14.924760322578273,0.0,207.98423716067927,0.05,0.04889965057373047,0.6981201171875,0.024104552,0.026178274,-3.410899733719885,0.0,40000,1.9011356830596924,1.809055534241102,0.6572822779832744,-5.010810580391175,0.0
33,4.6709511280059814,-4.080202560919609,4.263426339367697,20.392174451236492,-20.334867101121297,0.0,198.73354830689294,0.05,0.04963541030883789,0.702246904373169,0.02528331,0.024499452,-3.4778300164398575,0.0,40000,1.8957927227020264,0.5774035940167467,0.4583236058197191,-4.87737065167929,0.0
34,4.555275917053223,-2.39980323032167,9.56710437564358,109.12428000014046,-14.685745400635964,0.0,231.70466520643953,0.05,0.046822547912597656,0.6921303272247314,0.024185857,0.025162354,-3.3700273378280388,0.0,40000,1.8998255729675293,0.9620278587268967,0.805697751485922,-4.840536193369443,0.0
35,4.668168067932129,-2.5709668579833194,6.951239602256218,51.774951528367644,-19.14764785198761,0.0,198.2990403305849,0.05,0.048322439193725586,0.668898344039917,0.024528164,0.02810419,-3.290121289843567,0.0,40000,1.8462202548980713,0.9268595204637111,0.6794745740382807,-3.6931227551396377,0.0
36,4.551050424575806,-3.1861775309505447,6.5023317671789735,43.94885717374507,-18.317500641226417,0.0,196.49404059763245,0.05,0.04943275451660156,0.6674888134002686,0.024463864,0.03179217,-3.279726913954265,0.0,40000,1.8494999408721924,0.7895723369777524,0.5588930723455615,-2.211041283851563,0.0
37,4.680513620376587,-3.79506960554099,4.561265918149036,25.83693959198796,-14.701593091499815,0.0,199.8552228056742,0.05,0.045697927474975586,0.626176118850708,0.024827942,0.024969026,-3.3312611831129373,0.0,40000,1.9106483459472656,0.986307661541283,0.4325901711060563,-4.752039837307867,0.0
38,4.556713342666626,-2.107505986321283,7.775130647488522,55.485964383456555,-16.65869682951936,0.0,203.791752518005,0.05,0.04761528968811035,0.6256005764007568,0.024443949,0.026447417,-3.208885663433772,0.0,40000,1.6771585941314697,0.9019904386648041,0.5280784361172381,-4.6117981615593155,0.0
39,4.560635805130005,-2.6453364084758264,7.427502772376569,48.27457791973857,-15.038454529642475,0.0,197.87945439572238,0.05,0.04966163635253906,0.654533863067627,0.025045078,0.027928393,-3.1525307379379774,0.0,40000,1.9282031059265137,0.7975482255261241,0.5338253723468873,1.8787438774934577,0.0
40,4.55142068862915,-2.8193281104352184,7.495046020138681,77.42486584679293,-15.317656165727444,0.0,200.78552572494723,0.05,0.04511594772338867,0.6238324642181396,0.025385533,0.027432788,-3.119210475187702,0.0,40000,1.9072942733764648,0.7414881789148327,0.47945549348037053,-5.571328949712554,0.0
41,4.553481340408325,-1.2231026497823836,14.096700155306245,164.431424282919,-16.15534533442486,0.0,239.05518592471725,0.05,0.04595351219177246,0.6576268672943115,0.024520855,0.024994638,-2.92959969264717,0.0,40000,1.9150168895721436,0.95053148874173,0.5528807350394185,1.0442733675421425,0.0
42,4.556107044219971,1.5222253535434829,41.00546554376925,559.7523605720796,-17.558406719006502,0.5,252.6629191614043,0.05,0.04842543601989746,0.6554429531097412,0.026082367,0.023754856,-2.4844171880281043,0.5,40000,1.8860697746276855,0.926523803544006,0.601883244038677,-3.939357881625365,0.0
43,4.556973934173584,-3.323326602563891,7.776199783977075,81.62928026149314,-18.376552773547683,0.0,185.63413807218797,0.05,0.04866313934326172,0.6391897201538086,0.02507784,0.025344104,-2.568308129481683,0.0,40000,1.912292242050171,3.3679051347130544,0.775966783385784,-2.896676080141442,0.0
44,4.5618603229522705,-2.4700865061350177,6.744688348214186,34.46858786687625,-14.518550657544274,0.0,198.3960753788811,0.05,0.051216840744018555,0.671926736831665,0.02511025,0.027091552,-2.558485967147017,0.0,40000,1.9384818077087402,0.8324425315110686,0.754220465630845,-4.095816579250401,0.0
45,4.669217824935913,-2.024513306924665,8.41534597101086,62.65664220452462,-17.96359079109348,0.0,228.93984907138073,0.05,0.047818899154663086,0.6792972087860107,0.025035309,0.023409603,-2.505088701124782,0.0,40000,1.948911190032959,0.8398322819552628,0.7515709168799187,-4.878261748203965,0.0
46,4.66343092918396,-2.272676710294155,5.819535163826864,27.425090532873735,-15.37631459470463,0.0,217.67470130172092,0.05,0.049071311950683594,0.6746795177459717,0.02523916,0.023783699,-2.4818475020417194,0.0,40000,1.9317705631256104,0.8328311292603996,0.702665035082655,-3.633485819034963,0.0
