iter,0102_10_20_1_as,0102_10_20_1_sr,0102_10_20_2_as,0102_10_20_2_sr,0102_10_as,0102_10_sr,0102_20_10_1_as,0102_20_10_1_sr,0102_20_10_2_as,0102_20_10_2_sr,0102_20_as,0102_20_sr,0102_30_as,0102_30_sr
25,-3.584624,0.000000,-4.385198,0.000000,-3.411513,0.000000,-3.107933,0.000000,-3.292032,0.000000,-2.516435,0.000000,-4.231653,0.000000
50,-3.371097,0.000000,-3.670526,0.000000,-3.156831,0.000000,-0.120017,0.002000,-3.123743,0.000000,1.848924,0.001000,-2.530258,0.000000
75,0.340163,0.001000,-1.027266,0.000000,-0.807025,0.000000,4.932601,0.004000,-2.820286,0.000000,15.858719,0.003000,6.620269,0.002000
100,5.265392,0.001000,8.082660,0.000000,1.381369,0.001000,18.419510,0.004000,-1.008305,0.001000,66.747951,0.041000,2.284961,0.000000
125,32.144857,0.004000,18.948760,0.001000,9.095772,0.001000,12.213515,0.000000,-3.238636,0.000000,79.083948,0.018000,-1.799496,0.000000
150,29.338766,0.005000,42.471905,0.003000,17.827026,0.006000,34.898416,0.010000,-2.418335,0.001000,108.540852,0.041000,0.323700,0.000000
175,74.874287,0.014000,36.469328,0.003000,79.497945,0.044000,13.339932,0.006000,20.836603,0.007000,94.829283,0.034000,30.408197,0.021000
200,84.379893,0.033000,94.260733,0.038000,118.816040,0.075000,11.783665,0.007000,50.468248,0.014000,117.677408,0.051000,172.206532,0.134000
225,127.851862,0.060000,129.116959,0.066000,144.155968,0.107000,23.743580,0.014000,61.222889,0.043000,175.722087,0.094000,100.336269,0.070000
250,256.877433,0.189000,128.603145,0.053000,160.046802,0.151000,32.639721,0.010000,75.348928,0.035000,215.708171,0.145000,249.478118,0.171000
275,301.598408,0.231000,129.257279,0.053000,176.670125,0.134000,105.000294,0.074000,90.739285,0.048000,150.953723,0.102000,252.616995,0.202000
300,441.645236,0.334000,155.152645,0.110000,184.930537,0.163000,189.045302,0.168000,96.502453,0.052000,276.497373,0.218000,366.738859,0.264000
325,503.142284,0.402000,247.505407,0.197000,234.927140,0.218000,175.435579,0.150000,133.248589,0.103000,255.858564,0.186000,972.903078,0.640000
350,462.217224,0.384000,493.258908,0.361000,855.349805,0.593000,303.499198,0.305000,170.648118,0.138000,404.951831,0.327000,957.456475,0.579000
375,1192.476921,0.795000,621.671998,0.451000,343.002289,0.311000,452.458307,0.361000,116.426556,0.078000,708.822812,0.577000,1222.013776,0.708000
400,1292.272201,0.852000,844.002873,0.576000,853.753606,0.691000,884.939926,0.583000,181.046779,0.188000,1037.985233,0.661000,1754.245831,0.800000
425,1363.852807,0.838000,1346.816068,0.672000,1059.118094,0.747000,1141.431047,0.752000,299.957434,0.297000,1427.403450,0.817000,1838.806641,0.841000
450,1634.606108,0.885000,1719.922257,0.786000,1295.708350,0.769000,1162.037914,0.754000,425.791436,0.390000,1390.767230,0.844000,2039.602786,0.875000
475,1583.365437,0.762000,2127.187681,0.840000,1581.341651,0.876000,1726.657234,0.830000,218.821633,0.218000,1826.857583,0.867000,2351.388039,0.922000
500,1963.188575,0.841000,2549.372506,0.915000,1777.315519,0.862000,1819.430497,0.932000,673.496188,0.560000,1850.668209,0.861000,2470.024597,0.893000
525,2007.312447,0.947000,2521.052754,0.899000,1968.787353,0.878000,1708.445184,0.896000,471.464024,0.357000,1947.361251,0.876000,2681.725263,0.947000
550,2326.806756,0.961000,3046.964296,0.942000,1606.310864,0.831000,1973.764644,0.944000,1301.035645,0.859000,1954.086163,0.910000,2904.331965,0.956000
575,2409.292134,0.959000,3083.690571,0.946000,1380.583493,0.785000,2133.983736,0.967000,1493.883942,0.906000,1883.020010,0.870000,1997.084330,0.794000
600,2603.568566,0.955000,3478.445281,0.971000,1949.014481,0.967000,1894.578174,0.915000,1424.573857,0.858000,2433.914093,0.921000,3135.384745,0.975000
625,2734.817092,0.939000,3173.420131,0.920000,1942.915614,0.910000,2111.087885,0.965000,1707.943463,0.872000,2384.855919,0.878000,3290.373357,0.981000
650,2374.338082,0.878000,3465.717969,0.971000,1772.531130,0.914000,2334.386395,0.949000,1303.645698,0.767000,2557.617295,0.951000,3304.023967,0.990000
675,2617.111637,0.938000,3582.307006,0.982000,2186.716481,0.935000,2470.790322,0.956000,2053.644709,0.938000,2600.213297,0.930000,3248.279038,0.983000
700,2777.633591,0.954000,3688.537424,0.993000,1990.631195,0.875000,2408.006822,0.972000,2365.426812,0.914000,2530.932830,0.944000,3337.063104,0.997000
725,3097.299782,0.971000,3726.787356,0.983000,2105.240254,0.909000,2753.313566,0.989000,2586.520553,0.956000,2520.565258,0.943000,3138.145214,0.994000
750,3188.137078,0.981000,3757.391575,0.994000,2073.062192,0.876000,2901.841110,0.991000,2947.897132,0.991000,2475.260012,0.938000,3211.987954,0.967000
775,3235.010334,0.975000,3822.177645,0.983000,2077.300289,0.905000,3007.157233,0.991000,3007.919978,0.983000,2584.873989,0.907000,3481.322759,0.994000
800,3254.692327,0.961000,3919.274352,0.987000,0,0,3090.842883,0.979000,3063.599937,0.968000,0,0,3388.339800,0.996000
